,food items,Allergy,Avg Serving Size,Calories,Category,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K,Serving_Size_Grams,Calories_per_100g,Carbs_per_100g,Total Fat_per_100g,Saturated Fat_per_100g,Protein_per_100g,Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Sugar_per_100g,Potassium_per_100g,Magnesium_per_100g,Phosphorus_per_100g,Vitamin C_per_100g,Vitamin A_per_100g,Calcium_per_100g,Iron_per_100g,Zinc_per_100g,Vitamin E_per_100g,Vitamin K_per_100g
366,Bok Choi,No allergy,100.0,13.0,Vegetables,2.2,0.2,0.1,1.5,1.0,0.0,65.0,1.2,252.0,11.0,20.0,45.0,1054.0,0.1,45.5,1.5,0.2,0.3,100.0,13.0,2.2,0.2,0.1,1.5,1.0,0.0,65.0,1.2,252.0,11.0,20.0,45.0,1054.0,0.1,45.5,1.5,0.2,0.3
367,Broad Beans,No allergy,100.0,88.0,Vegetables,14.0,0.7,0.1,7.6,6.4,0.0,16.0,2.2,620.0,34.0,103.0,40.0,34.0,1.6,25.0,1.5,2.7,1.7,100.0,88.0,14.000000000000002,0.7,0.1,7.6,6.4,0.0,16.0,2.2,620.0,34.0,103.0,40.0,34.0,1.6,25.0,1.5,2.7,1.7000000000000002
368,Brussels Sprouts,No allergy,100.0,43.0,Vegetables,9.0,0.3,0.1,3.4,3.8,0.0,25.0,2.2,342.0,23.0,69.0,85.0,754.0,0.9,177.0,1.4,0.4,0.4,100.0,43.0,9.0,0.3,0.1,3.4000000000000004,3.8,0.0,25.0,2.2,342.0,23.0,69.0,85.0,754.0,0.9000000000000001,177.0,1.4,0.4,0.4
369,Calabrese,No allergy,100.0,34.0,Vegetables,3.3,0.4,0.0,3.1,2.6,0.0,22.0,1.2,319.0,21.0,57.0,80.0,1500.0,1.48,1.8,147.0,2.8,0.7,100.0,34.0,3.3000000000000003,0.4,0.0,3.1,2.6,0.0,22.0,1.2,319.0,21.0,56.99999999999999,80.0,1500.0,1.48,1.8000000000000003,147.0,2.8,0.7
370,Capers,No allergy,5.0,1.15,Vegetables,0.165,0.045,0.01,0.12,0.105,0.0,127.5,0.02,2.0,1.8,0.65,0.215,0.0,0.0265,0.27,2.0,0.085,0.02,5.0,23.0,3.3000000000000003,0.8999999999999999,0.2,2.4,2.0999999999999996,0.0,2550.0,0.4,40.0,36.0,13.0,4.3,0.0,0.53,5.4,40.0,1.7000000000000002,0.4
371,Capsicum,No allergy,75.0,19.5,Vegetables,3.45,0.225,0.0,0.975,1.125,0.0,2.25,1.8,235.5,13.5,19.5,60.0,2250.0,0.2775,1.05,7.5,0.225,0.15,75.0,26.0,4.6,0.3,0.0,1.3,1.5,0.0,3.0,2.4,314.0,18.0,26.0,80.0,3000.0,0.37,1.4000000000000001,10.0,0.3,0.2
372,Cardoons,No allergy,50.0,8.5,Vegetables,1.8,0.1,0.0,0.65,0.8,0.0,8.5,0.3,214.5,11.5,15.0,5.0,0.0,0.09,16.0,20.0,0.25,0.1,50.0,17.0,3.6000000000000005,0.2,0.0,1.3,1.6,0.0,17.0,0.6,429.0,23.0,30.0,10.0,0.0,0.18,32.0,40.0,0.5,0.2
373,Butternut Squash,No allergy,205.0,92.25,Vegetables,25.461,0.205,0.0615,2.05,4.1,0.0,4.1,5.3915,721.6,67.65,61.5,43.05,438.7,1.2095,2.255,98.4,1.23,0.3485,205.0,45.0,12.42,0.1,0.03,0.9999999999999999,1.9999999999999998,0.0,1.9999999999999998,2.63,352.0,33.0,30.0,21.0,214.0,0.59,1.0999999999999999,48.00000000000001,0.6,0.16999999999999998
374,Courgette,No allergy,100.0,17.0,Vegetables,3.11,0.32,0.08,1.2,1.0,0.0,8.0,2.52,261.0,21.0,20.0,17.0,200.0,0.12,4.3,16.0,0.37,0.32,100.0,17.0,3.11,0.32,0.08,1.2,1.0,0.0,8.0,2.52,261.0,21.0,20.0,17.0,200.0,0.12,4.3,16.0,0.37,0.32
375,Daikon Radish,No allergy,100.0,18.0,Vegetables,4.1,0.1,0.02,0.6,1.6,0.0,21.0,2.5,227.0,15.0,20.0,27.4,0.0,0.11,1.3,27.0,0.3,0.2,100.0,18.0,4.1,0.1,0.02,0.6,1.6,0.0,21.0,2.5,227.0,15.0,20.0,27.399999999999995,0.0,0.11,1.3,27.0,0.3,0.2
